"barcodes" "embedding" "cluster" "membership_prob" "outlier_scores"
"TCGA-DD-AADN-01A-11R-A41C-07" "AADN" 3.8278215121968 1 0.281746780761482 0.0587195146499444
"TCGA-FV-A2QQ-01A-11R-A22L-07" "A2QQ" 0.967831029503965 1 0.377080584813198 0.0619363170765315
"TCGA-MI-A75I-01A-11R-A32O-07" "A75I" 7.11721257188966 1 0.307270633371823 0.0240377102823797
"TCGA-MI-A75H-01A-11R-A32O-07" "A75H" -8.41993759497355 0 0 0.449735515973099
"TCGA-DD-A4NP-01A-11R-A28V-07" "A4NP" -3.86763545933707 2 0.317030857237362 0.145028292626611
"TCGA-UB-AA0U-01A-11R-A38B-07" "AA0U" -2.65300383823464 2 0.0107682855672402 0.409724450245775
"TCGA-DD-AACO-01A-11R-A41C-07" "AACO" 7.82229686375459 1 0.248600417137001 0.100242062641203
"TCGA-G3-AAV7-01A-11R-A38B-07" "AAV7" 1.81160071050559 1 0.271486622022905 0.197903431235224
"TCGA-ZS-A9CF-01A-11R-A38B-07" "A9CF" -7.83983175739718 2 0.167249488428665 0.298806442076749
"TCGA-DD-AACS-01A-11R-A41C-07" "AACS" 6.99212917391059 1 0.220518059990289 0.132657597171975
"TCGA-G3-AAV5-01A-11R-A37K-07" "AAV5" 10.9271214703126 0 0 0.537712471335721
"TCGA-RC-A6M4-01A-11R-A32O-07" "A6M4" 7.64355285649358 1 0.15775555041759 0.306213200853526
"TCGA-DD-AADV-01A-11R-A39D-07" "AADV" -8.27275703937809 0 0 0.422949019372894
"TCGA-DD-AAD0-01A-11R-A41C-07" "AAD0" 5.51088783469895 1 0.265088499560511 0.0800555734877365
"TCGA-G3-AAV3-01A-11R-A37K-07" "AAV3" 9.63484423419287 0 0 0.502839772729264
"TCGA-DD-AAVS-01A-11R-A41C-07" "AAVS" -9.52593187744795 0 0 0.41669221525624
"TCGA-G3-A25X-01A-11R-A16W-07" "A25X" -4.16528836945329 2 0.291525247765164 0.175807899675778
"TCGA-5C-A9VH-01A-11R-A37K-07" "A9VH" -8.18561675408861 2 0.00674321707330414 0.412116479737943
"TCGA-G3-A6UC-01A-21R-A33J-07" "A6UC" -9.85427043003254 0 0 0.41669221525624
"TCGA-DD-AAE7-01A-11R-A41C-07" "AAE7" -8.34514843393303 0 0 0.417492898106227
"TCGA-G3-A25U-01A-11R-A16W-07" "A25U" 11.7801716500307 0 0 0.707909906123085
"TCGA-UB-AA0V-01A-11R-A38B-07" "AA0V" -6.32990898814339 2 0.39385791857545 0.0366626704108886
"TCGA-G3-A7M5-01A-11R-A33R-07" "A7M5" 8.3293141042113 1 0.104362114803797 0.347573287783984
"TCGA-DD-A1EB-01A-11R-A131-07" "A1EB" -1.30487252224991 0 0 0.41816777154782
"TCGA-DD-AADB-01A-11R-A41C-07" "AADB" -10.8582127207485 0 0 0.492010435065263
"TCGA-2Y-A9H7-01A-11R-A39D-07" "A9H7" -7.90488234364665 2 0.146087201040246 0.316183930276664
"TCGA-DD-A113-01A-11R-A131-07" "A113" 10.1425484656501 0 0 0.498189382302286
"TCGA-UB-A7ME-01A-11R-A33J-07" "A7ME" 9.23554112462838 0 0 0.489332091813638
"TCGA-CC-A7IJ-01A-11R-A33R-07" "A7IJ" 1.78623861171436 1 0.292911242680557 0.173600096556652
"TCGA-GJ-A3OU-01A-31R-A38B-07" "A3OU" -6.9141272244648 2 0.230091387784257 0.241573240243886
"TCGA-G3-A5SL-01A-11R-A27V-07" "A5SL" -10.4455092610681 0 0 0.41669221525624
"TCGA-DD-AAW1-01A-11R-A41C-07" "AAW1" -10.196461008827 0 0 0.441154670548409
"TCGA-DD-AADK-01A-11R-A41C-07" "AADK" -4.10201031294091 2 0.280983623809064 0.187891523188268
"TCGA-BC-A3KF-01A-11R-A213-07" "A3KF" -8.4664429736831 0 0 0.461010855453288
"TCGA-DD-AAD8-01A-11R-A41C-07" "AAD8" 6.17649189553414 1 0.220477377622429 0.13270286275078
"TCGA-RC-A7S9-01A-11R-A33R-07" "A7S9" 7.3307881396441 1 0.258009117931712 0.0888328210657838
"TCGA-G3-AAUZ-01A-11R-A38B-07" "AAUZ" -4.40817356551234 2 0.335201990321186 0.121659082052272
"TCGA-G3-A25T-01A-11R-A16W-07" "A25T" 0.776194313267266 1 0.344167107456788 0.109013763386132
"TCGA-DD-AACB-01A-11R-A41C-07" "AACB" -7.34581233400275 2 0.201084170524787 0.269110371170548
"TCGA-DD-AAVR-01A-11R-A41C-07" "AAVR" -6.58010410811674 2 0.402734275328148 0.0223458840000775
"TCGA-2Y-A9GU-01A-11R-A38B-07" "A9GU" 9.26215594717054 0 0 0.495921953231283
"TCGA-LG-A6GG-01A-11R-A311-07" "A6GG" -0.114773592953313 1 0.145164848634727 0.316431852572503
"TCGA-KR-A7K2-01A-12R-A33R-07" "A7K2" 0.666503089701921 1 0.325443271983596 0.133745085468255
"TCGA-DD-AAEK-01A-11R-A41C-07" "AAEK" -8.75411041300029 0 0 0.459412875067479
"TCGA-QA-A7B7-01A-11R-A32O-07" "A7B7" 5.45897152083533 1 0.289402519763015 0.0485784742951807
"TCGA-DD-AAVX-01A-11R-A41C-07" "AAVX" -2.22253197550292 2 0.126634797298266 0.331414519075443
"TCGA-G3-A3CK-01A-11R-A213-07" "A3CK" -10.530459724015 0 0 0.41669221525624
"TCGA-DD-AADD-01A-11R-A41C-07" "AADD" 5.27364292350366 1 0.303384408671604 0.0294823325446382
"TCGA-DD-AADY-01A-11R-A41C-07" "AADY" 0.246361071462352 1 0.27564706580169 0.193296453721982
"TCGA-BW-A5NO-01A-11R-A27V-07" "A5NO" 8.24185644825015 1 0.111663173697556 0.34221112592295
"TCGA-DD-AADG-01A-11R-A41C-07" "AADG" 9.46313050366325 0 0 0.484122341155067
"TCGA-DD-AAVW-01A-11R-A41C-07" "AAVW" -6.49516807853801 2 0.401127991786095 0.024968129980541
"TCGA-XR-A8TC-01A-11R-A36F-07" "A8TC" -10.8296420756016 0 0 0.480877907592021
"TCGA-ZP-A9D0-01A-11R-A37K-07" "A9D0" 1.21421014809418 1 0.384787540550114 0.0501849047446624
"TCGA-K7-AAU7-01A-11R-A38B-07" "AAU7" 0.0166037178712821 1 0.178707368106701 0.288514156729242
"TCGA-DD-AADO-01A-11R-A41C-07" "AADO" 6.55068491512942 1 0.238566894215962 0.112098313465207
"TCGA-5C-A9VG-01A-11R-A37K-07" "A9VG" -7.81885345069031 2 0.185330287862023 0.283244135173868
"TCGA-EP-A3JL-01A-11R-A213-07" "A3JL" -4.273905519403 2 0.314062707219706 0.148727879039313
"TCGA-DD-A73E-01A-12R-A32O-07" "A73E" 11.8061194526344 0 0 0.711144704179527
"TCGA-O8-A75V-01A-11R-A32O-07" "A75V" -4.43089336221281 2 0.339904549682528 0.115401728961657
"TCGA-DD-AADI-01A-11R-A41C-07" "AADI" -4.15803404184372 2 0.285272882196998 0.183017854609994
"TCGA-2Y-A9HB-01A-11R-A39D-07" "A9HB" 9.5793378964987 0 0 0.497853528483047
"TCGA-DD-AADU-01A-11R-A41C-07" "AADU" 7.12616785394885 1 0.315002651872338 0.0240377102823797
"TCGA-DD-A11C-01A-11R-A131-07" "A11C" -7.21078732123331 2 0.240787891590238 0.230887801178272
"TCGA-XR-A8TG-01A-11R-A36F-07" "A8TG" 5.25268430275922 1 0.295829225994532 0.0398952018934223
"TCGA-G3-AAV2-01A-11R-A37K-07" "AAV2" -8.57629844253477 0 0 0.470422847621033
"TCGA-ZS-A9CG-01A-11R-A37K-07" "A9CG" -10.6492973064284 0 0 0.41669221525624
"TCGA-G3-A3CG-01A-11R-A213-07" "A3CG" -0.364735547207879 1 0.0915275609405567 0.356790524785056
"TCGA-RC-A7SF-01A-11R-A352-07" "A7SF" 6.62185912929504 1 0.267370574973093 0.0771900285273931
"TCGA-CC-5259-01A-31R-A213-07" "5259" 3.95305680008845 1 0.271478466896448 0.0719866083725281
"TCGA-CC-A7II-01A-11R-A33J-07" "A7II" 6.7351671439177 1 0.178426254131349 0.288757602451327
"TCGA-DD-AADW-01A-11R-A39D-07" "AADW" -0.966154135942512 0 0 0.461320675477725
"TCGA-ED-A459-01A-11R-A266-07" "A459" 2.8763728207923 1 0.279652736787156 0.0614558098080683
"TCGA-DD-A4NO-01A-11R-A28V-07" "A4NO" 10.33228640871 0 0 0.499899606001892
"TCGA-NI-A8LF-01A-11R-A36F-07" "A8LF" -6.21174346520292 2 0.39462893483662 0.0354357390478813
"TCGA-RC-A6M5-01A-11R-A32O-07" "A6M5" -7.03318732154523 2 0.292013325011334 0.175239711848447
"TCGA-DD-AAD2-01A-11R-A41C-07" "AAD2" -5.06976650788766 2 0.223840800548475 0.247681024094361
"TCGA-MI-A75C-01A-11R-A32O-07" "A75C" 5.77332221160127 1 0.295696407582526 0.0400762596020811
"TCGA-DD-AAVQ-01A-11R-A41C-07" "AAVQ" -4.49851819603888 2 0.398189094484367 0.0297296231765543
"TCGA-DD-AAD6-01A-11R-A41C-07" "AAD6" 11.2009694719071 0 0 0.610559563730426
"TCGA-ED-A7PZ-01A-11R-A33R-07" "A7PZ" 7.08764786981466 1 0.284102852097908 0.0556216898051751
"TCGA-DD-AAVV-01A-11R-A41C-07" "AAVV" -2.58505999784836 2 0.0693277759933182 0.372583301608322
"TCGA-ZP-A9CZ-01A-11R-A38B-07" "A9CZ" 8.89786672317134 1 0 0.415661919225336
